

		CIS Department – Fall 2017
		 CIS 161 Class Statistics

Student ID    Quiz 1      Quiz 2      Quiz 3      Average     
----------    ------      ------      ------      -------     
1234          52.00       70.00       75.00       65.00       
2134          90.00       76.00       90.00       85.00       
3124          90.00       95.00       98.00       94.00       
4532          11.00       17.00       81.00       36.00       
5678          20.00       12.00       45.00       25.00       
6134          34.00       45.00       55.00       44.00       
7874          60.00       100.00      56.00       72.00       
8026          70.00       10.00       66.00       48.00       
9893          34.00       9.00        77.00       40.00       
2233          78.00       20.00       78.00       58.00       
1947          45.00       40.00       88.00       57.00       
3456          78.00       55.00       78.00       70.00       
2877          55.00       50.00       99.00       68.00       
3189          70.00       100.00      78.00       82.00       
2132          77.00       100.00      80.00       85.00       
4602          89.00       50.00       91.00       76.00       
3445          78.00       60.00       78.00       72.00       
5405          11.00       11.00       0.00        7.00        
4556          78.00       20.00       10.00       36.00       
6999          88.00       98.00       89.00       91.00       

High Score    90          100         99          

Low Score     11          9           0           

Average Score 60.40       51.90       70.60       

