Sorted Student Information (By ID)

Student ID  Test 1  Test 2  Test 3  Average 
----------  ------  ------  ------  ------- 
1234        52.00   70.00   75.00   65.67   
1947        45.00   40.00   88.00   57.67   
2132        77.00   100.00  80.00   85.67   
2134        90.00   76.00   90.00   85.33   
2233        78.00   20.00   78.00   58.67   
2877        55.00   50.00   99.00   68.00   
3124        90.00   95.00   98.00   94.33   
3189        70.00   100.00  78.00   82.67   
3445        78.00   60.00   78.00   72.00   
3456        78.00   55.00   78.00   70.33   
4532        11.00   17.00   81.00   36.33   
4556        78.00   20.00   10.00   36.00   
4602        89.00   50.00   91.00   76.67   
5405        11.00   11.00   0.00    7.33    
5678        20.00   12.00   45.00   25.67   
6134        34.00   45.00   55.00   44.67   
6999        88.00   98.00   89.00   91.67   
7874        60.00   100.00  56.00   72.00   
8026        70.00   10.00   66.00   48.67   
9893        34.00   9.00    77.00   40.00   
